"header-authzone;fqdn*;zone_format*;allow_active_dir;allow_query;allow_transfer;allow_update;allow_update_forwarding;comment;create_underscore_zones;ddns_force_creation_timestamp_update;ddns_principal_group;ddns_principal_tracking;ddns_restrict_patterns;ddns_restrict_patterns_list;ddns_restrict_protected;ddns_restrict_secure;ddns_restrict_static;disable_forwarding;disabled;enable_fixed_rrset_order;external_primaries;external_secondaries;grid_primaries;grid_secondaries;is_multimaster;notify_delay;ns_group;prefix;_new_prefix;soa_default_ttl;soa_email;soa_expire;soa_mnames;soa_negative_ttl;soa_refresh;soa_retry;soa_serial_number;update_forwarding;view;zone_type"
"authzone;gs2.sonycoment.loris-e.llnwd.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;gs2-ww-prod.psn.akadns.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;gs2-ww-prod.psn.akadns.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;gs2.ww.prod.dl.playstation.net.edgesuite.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;gs2.ww.prod.dl.playstation.net.edgesuite.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;playstation4.sony.akadns.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;theia.dl.playstation.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;tmdb.np.dl.playstation.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;gs-sec.ww.np.dl.playstation.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;cdn.ubi.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;assets1.xboxlive.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;assets2.xboxlive.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;xbox-mbr.xboxlive.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;assets1.xboxlive.com.nsatc.net;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;xvcf1.xboxlive.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;xvcf2.xboxlive.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
"authzone;d1.xboxlive.com;FORWARD;;;;;;;FALSE;;;;;;;;;FALSE;FALSE;FALSE;;;ns.event.nl.gameforce.gg/False/False/False;;FALSE;;;;;;;;;;;;2;;default;Authoritative"
